500,6401
5SuOikwiRyPMVoIQDJUgSV,Comedy,Gen Hoshino,acoustic,73,0.676,0.461,0.715
4qPNDBW1i3p13qLCt0Ki3A,Ghost - Acoustic,Ben Woodward,acoustic,55,0.42,0.166,0.267
1iJBSr7s7jYXzM8EGcbK5b,To Begin Again,Ingrid Michaelson;ZAYN,acoustic,57,0.438,0.359,0.12
6lfxq3CG4xtTiEg7opyCyx,Can't Help Falling In Love,Kina Grannis,acoustic,71,0.266,0.0596,0.143
5vjLSffimiIP26QG5WcN2K,Hold On,Chord Overstreet,acoustic,82,0.618,0.443,0.167
01MVOl9KtVTNfFiBU9I7dc,Days I Will Remember,Tyrone Wells,acoustic,58,0.688,0.481,0.666
6Vc5wAMmXdKIAM7WUoEb7N,Say Something,A Great Big World;Christina Aguilera,acoustic,74,0.407,0.147,0.0765
1EzrEOXmMH3G43AXT1y7pA,I'm Yours,Jason Mraz,acoustic,80,0.703,0.444,0.712
0IktbUcnAGrvD03AWnz3Q8,Lucky,Jason Mraz;Colbie Caillat,acoustic,74,0.625,0.414,0.669
7k9GuJYLp2AzqokyEdwEw2,Hunger,Ross Copperman,acoustic,56,0.442,0.632,0.196
4pR4oQJULf7FDB54TleMyH,Jireh (My Provider),Limoblaze;Lecrae;Happi,afrobeat,64,0.443,0.778,0.628
4Ds4bq6aqOSAp1T7DikOi4,Ainda Há Tempo,Criolo,afrobeat,44,0.58,0.8,0.483
7nYbKsvhM88mHCmFsAIQVp,Fellini,Criolo,afrobeat,42,0.805,0.746,0.717
7gVNP7rI9UBZndge0ulKfL,Lion Man,Criolo,afrobeat,46,0.582,0.66,0.484
1hLvWelTny8vttEEZIXVjw,Espiral de Ilusão,Criolo,afrobeat,44,0.776,0.314,0.476
660JNfrBV1K41iYGOh7ClC,Yemanjá Chegou,Criolo,afrobeat,43,0.711,0.515,0.679
0tsjEf663ZNWGlIqY2c0Ms,Tô Pra Ver,Criolo;Rael,afrobeat,41,0.637,0.818,0.599
1Vc0GbabaIukvQZeQTrNQc,Terapia,BaianaSystem,afrobeat,39,0.79,0.814,0.914
1bBO92RtVTlJlfxuVaLek8,Aló,Plastilina Mosh,afrobeat,40,0.797,0.609,0.913
00LmM2QLGpfb5NC7PC7qqZ,Vasilhame,Criolo,afrobeat,43,0.506,0.876,0.676
5E30LdtzQTGqRvNd7l6kG5,Daddy Issues,The Neighbourhood,alt-rock,87,0.588,0.521,0.337
2Y0iGXY6m6immVb2ktbseM,Little Dark Age,MGMT,alt-rock,83,0.705,0.712,0.62
2K7xn816oNHJZ0aVqdQsha,Softcore,The Neighbourhood,alt-rock,86,0.575,0.568,0.37
2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,The Neighbourhood,alt-rock,93,0.612,0.807,0.398
7zwn1eykZtZ5LODrf7c0tS,You Get Me So High,The Neighbourhood,alt-rock,83,0.551,0.881,0.387
7vguMCv8uVuZLiQJ156u3Z,Play with Fire (feat. Yacht Money),Sam Tinnesz;Yacht Money,alt-rock,76,0.573,0.539,0.39
4gHnSNHs8RyVukKoWdS99f,Something In The Way,Nirvana,alt-rock,76,0.427,0.201,0.0668
0y1QJc3SJVPKJ1OvFmFqe6,Way down We Go,KALEO,alt-rock,78,0.489,0.505,0.337
6rrKbzJGGDlSZgLphopS49,Unstoppable,The Score,alt-rock,73,0.485,0.843,0.602
4CeeEOM32jQcH3eN9Q2dGj,Smells Like Teen Spirit,Nirvana,alt-rock,83,0.502,0.912,0.72
09gysnJpfQ3ublBmJDfcEC,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),Amaarae;Kali Uchis;Moliy,alternative,79,0.87,0.523,0.319
4fouWK6XVHhzl78KzQ1UjL,abcdefu,GAYLE,alternative,86,0.695,0.54,0.415
07MDkzWARZaLEdKxo6yArG,Meet Me At Our Spot,THE ANXIETY;WILLOW;Tyler Cole,alternative,81,0.773,0.47,0.399
60a0Rd6pjrkxjPbaKzXjfq,In the End,Linkin Park,alternative,85,0.556,0.864,0.4
2nLtzopw4rPReszdYBJU6h,Numb,Linkin Park,alternative,83,0.496,0.863,0.243
7BoobGhD4x5K96Me0hqC8Q,Build a Bitch,Bella Poarch,alternative,76,0.855,0.463,0.866
0eu4C55hL6x29mmeAjytzC,Life Goes On,Oliver Tree,alternative,79,0.7,0.49,0.569
6bTbMMEShyGyrcuIwtBlpA,Living Hell,Bella Poarch,alternative,70,0.729,0.551,0.312
0AUyNF6iFxMNQsNx2nhtrw,Blood // Water,grandson,alternative,75,0.51,0.882,0.653
6CqHve8qCxKzEd3ciOy6xj,Yen,Slipknot,alternative,3,0.568,0.934,0.319
1FWsomP9StpCcXNWmJk8Cl,K.,Cigarettes After Sex,ambient,78,0.454,0.4,0.327
2UKvxuMTM7JwprZrnpxgY1,Kiss It Off Me,Cigarettes After Sex,ambient,63,0.521,0.298,0.232
0yc6Gst2xkRu0eMLeRMGCX,Apocalypse,Cigarettes After Sex,ambient,84,0.37,0.467,0.182
3p4hRhMcb6ch8OLtATMaLw,Cry,Cigarettes After Sex,ambient,76,0.406,0.399,0.163
6ilc4vQcwMPlvAHFfsTGng,Sweet,Cigarettes After Sex,ambient,75,0.45,0.511,0.115
0SpkyS1Q4MD8GaVcP5YjT4,Sunsetz,Cigarettes After Sex,ambient,78,0.405,0.479,0.131
4VxaUj96W2jw9UOtKHu51p,Goodbye,Apparat;Soap&Skin,ambient,60,0.484,0.457,0.187
